Title: Gale2013MORB-1

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1573.15 100.144951 275.487313 -1187158.426977 36.642018 149.232743 2.110 51.4035 1.52025 14.6752 1.4447 8.95268 0.166618 7.08442 11.6062 2.83895 0.131398 0.1761 58.5
5000.00 1568.15 100.145103 275.012574 -1187906.766512 36.629837 149.233525 2.131 51.4034 1.52024 14.6752 1.44621 8.9513 0.166618 7.08441 11.6062 2.83895 0.131398 0.1761 58.5
5000.00 1563.15 100.145261 274.536325 -1188655.191961 36.617660 149.234336 2.151 51.4033 1.52024 14.6752 1.44778 8.94987 0.166617 7.0844 11.6062 2.83895 0.131398 0.1761 58.5
5000.00 1558.15 100.145425 274.058555 -1189403.704888 36.605487 149.235174 2.172 51.4032 1.52024 14.6751 1.44941 8.94839 0.166617 7.08439 11.6062 2.83894 0.131398 0.176099 58.5
5000.00 1553.15 100.145594 273.579255 -1190152.306893 36.593318 149.236041 2.193 51.4031 1.52024 14.6751 1.45109 8.94686 0.166617 7.08438 11.6062 2.83894 0.131398 0.176099 58.5
5000.00 1548.15 100.145769 273.098414 -1190900.999609 36.581153 149.236938 2.214 51.403 1.52023 14.6751 1.45283 8.94527 0.166617 7.08437 11.6061 2.83893 0.131397 0.176099 58.5
5000.00 1543.15 100.145949 272.616023 -1191649.784700 36.568992 149.237864 2.235 51.4029 1.52023 14.6751 1.45463 8.94364 0.166616 7.08435 11.6061 2.83893 0.131397 0.176099 58.5
5000.00 1538.15 100.146136 272.132071 -1192398.663870 36.556835 149.238821 2.256 51.4028 1.52023 14.675 1.45649 8.94195 0.166616 7.08434 11.6061 2.83892 0.131397 0.176098 58.5
5000.00 1533.15 97.324072 264.030803 -1158902.327753 35.535121 144.787824 2.305 51.3999 1.55525 14.9652 1.46062 9.01595 0.171447 6.78959 11.412 2.91364 0.135207 0.181204 57.3
5000.00 1528.15 94.525076 256.020256 -1125753.491095 34.524063 140.385258 2.355 51.4091 1.59032 15.258 1.46354 9.08478 0.176524 6.4955 11.205 2.99144 0.13921 0.18657 56.0
5000.00 1523.15 91.849327 248.369182 -1094168.637904 33.559466 136.188303 2.407 51.4311 1.62395 15.5422 1.46512 9.14452 0.181666 6.2126 10.9941 3.06949 0.143266 0.192005 54.8
5000.00 1518.15 89.286770 241.048581 -1064024.735816 32.637646 132.180224 2.459 51.4661 1.65602 15.8179 1.46537 9.19448 0.18688 5.94013 10.7804 3.14784 0.147378 0.197516 53.5
5000.00 1513.15 86.493875 233.126646 -1030891.354653 31.628548 127.839275 2.511 51.5138 1.69269 16.051 1.4681 9.26115 0.192915 5.68249 10.5543 3.22762 0.152051 0.203894 52.2
5000.00 1508.15 79.628765 214.210489 -945200.971959 29.074126 117.356868 2.534 51.547 1.81638 15.822 1.52066 9.67691 0.209547 5.48966 10.2175 3.31514 0.163703 0.221472 50.3
5000.00 1503.15 73.167983 196.432074 -864804.818778 26.668969 107.525027 2.553 51.5488 1.95231 15.5726 1.57471 10.0964 0.22805 5.29092 9.92893 3.39001 0.176233 0.241028 48.3
5000.00 1498.15 67.113071 179.794564 -789720.302528 24.414279 98.344153 2.567 51.5174 2.10127 15.305 1.62996 10.5178 0.248624 5.09032 9.68623 3.45096 0.18963 0.262774 46.3
5000.00 1493.15 61.476385 164.329517 -720091.065029 22.315221 89.829993 2.577 51.452 2.26341 15.0234 1.68579 10.9389 0.27142 4.89269 9.4848 3.49689 0.20382 0.286867 44.4
5000.00 1488.15 56.257652 150.033598 -655896.001504 20.372185 81.978267 2.583 51.3523 2.43879 14.7328 1.74157 11.3574 0.296599 4.70213 9.31931 3.52699 0.218715 0.313478 42.5
5000.00 1483.15 51.438586 136.854445 -596886.236708 18.578775 74.757122 2.585 51.2177 2.62782 14.4372 1.79676 11.7718 0.324386 4.5214 9.18523 3.54069 0.234235 0.342847 40.6
5000.00 1478.15 46.982198 124.691672 -542579.227775 16.921633 66.262436 2.582 51.0476 2.83156 14.1383 1.85109 12.1808 0.355155 4.35123 9.08092 3.53762 0.250347 0.375367 38.9
5000.00 1473.15 42.801718 113.311175 -491907.715226 15.369685 60.219350 2.574 50.8456 3.05076 13.8275 1.90531 12.582 0.389843 4.18537 9.01575 3.51858 0.267243 0.412029 37.2
5000.00 1468.15 38.934560 102.805724 -445301.741217 13.936272 54.655157 2.563 50.6074 3.28649 13.5201 1.95765 12.9742 0.428564 4.03283 8.97354 3.48167 0.284635 0.452954 35.7
5000.00 1463.15 35.341706 93.067879 -402260.226503 12.607038 49.509350 2.547 50.3304 3.54155 13.2155 2.00798 13.3558 0.472132 3.89303 8.95612 3.42597 0.302514 0.499001 34.2
5000.00 1458.15 31.992413 84.012708 -362385.149061 11.370638 44.734003 2.526 50.0111 3.81944 12.9127 2.05617 13.7251 0.521559 3.76561 8.966 3.35017 0.320851 0.551242 32.8
5000.00 1453.15 28.863028 75.574483 -325365.540776 10.218299 40.291870 2.500 49.6445 4.1245 12.6107 2.10209 14.08 0.578108 3.65038 9.00652 3.2526 0.339584 0.611008 31.6
5000.00 1448.15 25.936262 67.704592 -290966.982021 9.143529 36.155168 2.467 49.2241 4.46226 12.308 2.14558 14.4176 0.643344 3.54732 9.08201 3.13116 0.358604 0.679957 30.5
5000.00 1443.15 23.200787 60.370331 -259025.131391 8.141955 32.304848 2.428 48.7411 4.83984 12.0024 2.18653 14.7352 0.719197 3.45661 9.19792 2.98335 0.377724 0.760127 29.5
5000.00 1438.15 20.651066 53.554315 -229442.126100 7.211241 28.730218 2.380 48.184 5.26635 11.691 2.22488 15.0292 0.807994 3.37855 9.36086 2.8065 0.396642 0.853978 28.6
5000.00 1433.15 18.215919 47.074035 -201386.593321 6.326646 25.316987 2.330 47.6017 5.76449 11.3901 2.25791 15.3126 0.916009 3.30553 9.52077 2.60322 0.415921 0.911722 27.8
5000.00 1428.15 15.961030 41.095799 -175583.037279 5.511061 22.162841 2.275 46.9612 6.34069 11.0913 2.28567 15.566 1.04542 3.24063 9.70641 2.37131 0.434513 0.956854 27.1
5000.00 1423.15 13.936317 35.744160 -152560.858872 4.781556 19.340019 2.210 46.2328 6.99929 10.7864 2.30873 15.7699 1.1973 3.18543 9.94299 2.11292 0.451217 1.01307 26.5
5000.00 1418.15 12.158466 31.059419 -132479.768610 4.143898 16.868341 2.137 45.4302 7.73984 10.4797 2.32618 15.9072 1.37237 3.13597 10.2229 1.83943 0.465371 1.08092 26.0
5000.00 1413.15 10.638374 27.066751 -115442.961993 3.601981 14.759564 2.061 44.5978 8.54242 10.1839 2.33622 15.9535 1.56847 3.08586 10.5259 1.57004 0.476916 1.15894 25.6
5000.00 1408.15 9.369811 23.746334 -101361.796775 3.153487 13.002106 1.991 43.8048 9.36671 9.91758 2.33646 15.8857 1.78082 3.02844 10.8236 1.32571 0.486686 1.2435 25.4
5000.00 1403.15 8.324987 21.021667 -89895.224161 2.787941 11.555478 1.933 43.1136 10.1681 9.69537 2.32528 15.6953 2.00432 2.96023 11.0921 1.11923 0.495975 1.33045 25.2
5000.00 1398.15 6.791785 17.142618 -74315.162729 2.298774 9.408664 2.125 44.5912 9.72343 10.0668 2.1765 14.4485 2.36848 2.73863 10.8495 1.15938 0.554728 1.32274 25.3
5000.00 1393.15 5.504544 13.895790 -61244.083992 1.890392 7.605006 2.387 46.6764 8.92054 10.5535 1.98918 12.9691 2.76454 2.50032 10.4437 1.26532 0.62801 1.28944 25.6
5000.00 1388.15 4.579663 11.553183 -51624.684251 1.590383 6.312740 2.598 48.3328 8.329 10.8877 1.83105 11.7601 3.13355 2.3136 10.126 1.3211 0.689666 1.27545 26.0
5000.00 1383.15 3.877871 9.770593 -44169.583566 1.358327 5.334739 2.770 49.6648 7.88257 11.1173 1.69706 10.7648 3.47878 2.16394 9.87523 1.33996 0.741307 1.27419 26.4
5000.00 1378.15 3.322161 8.357090 -38165.564448 1.171828 4.562014 2.916 50.7857 7.52188 11.2814 1.58058 9.92111 3.80267 2.03895 9.66516 1.33703 0.785529 1.28001 26.8
5000.00 1373.15 2.867980 7.201427 -33189.885344 1.017597 3.931686 3.045 51.7654 7.21352 11.4022 1.47721 9.18868 4.10652 1.93105 9.48001 1.32151 0.824167 1.28975 27.3
5000.00 1368.15 2.486218 6.230595 -28958.308000 0.886718 3.402621 3.165 52.6621 6.936 11.4957 1.38357 8.54038 4.39169 1.83482 9.30228 1.29968 0.858738 1.29506 27.7
5000.00 1363.15 2.160389 5.402835 -25309.129639 0.774076 2.951877 3.276 53.4886 6.68166 11.5667 1.29834 7.96021 4.65758 1.74807 9.13445 1.27366 0.889881 1.30087 28.1
5000.00 1358.15 1.877971 4.686428 -22116.806633 0.675722 2.561894 3.382 54.2639 6.44381 11.6201 1.22012 7.43552 4.90411 1.66875 8.97333 1.2454 0.918286 1.30666 28.6
